ID,Intersection,Label,Date,Time of Day,Duration_Hours,Consultant_Total,Vision_Total,Pct_Diff,GEH,GEH_Hourly_Rate
8027600,CSAH 17 (France Ave) at I-494 N Ramp / 78th St,Manual,2025-04-16,6:00 AM TO 7:00 PM,13.0,99440,27674,-0.7217015285599356,284.66694852579656,78.95240610304828
8019100,CSAH 34 (Normandale Blvd) at 98th St W,Consultant,2025-04-08,6:00 AM to 7:00 PM,13.0,13131,23030,0.7538648998553042,73.61835451961572,20.41805784890466
8057100,CSAH 30 (93rd Ave) at Troy Ln N,Consultant,2026-04-29,5:00 AM to 11:00 PM,18.0,23041,17596,-0.23631786814808384,38.199006038217135,9.00359206806974
8035100,CSAH 101 (Central Ave) at Wayzata Blvd - Master Controller,Consultant,2025-04-15,5:00 AM to 11:00 PM,18.0,7743,4837,-0.37530672865814285,36.641250525379085,8.636425572550234
8023600,CSAH 53 (66th St) at Lakeshore Dr / Rae Dr,Consultant,2025-04-23,6:00 AM TO 7:00 PM,13.0,2530,1162,-0.5407114624505929,31.839793985515776,8.830769985768235
8054700,CSAH 158 (Gleason Rd) at Vernon Ave S,Consultant,2025-04-15,6:00 AM TO 7:00 PM,13.0,11409,8288,-0.27355596458935927,31.449136393959645,8.722421064421704
8033500,CSAH 136 (Silver Lake Rd) at St Anthony Blvd,Consultant,2025-04-17,6:00 AM to 7:00 PM,13.0,15289,11785,-0.22918438092746418,30.116387956073368,8.352783154414512
8057600,CSAH 61 (Flying Cloud Dr) at Singletree Ln,Consultant,2025-11-05,6:00 AM TO 7:00 PM,13.0,25988,21937,-0.15587963675542557,26.16954550912965,7.258126014519639
8047700,CSAH 31 (York Ave) at Southdale Exit,Consultant,2025-04-16,6:00 AM to 7:00 PM,13.0,21939,18298,-0.16596016226810703,25.66982336320942,7.1195280283196185
8030800,CSAH 28 (E Bush Lake Rd) at 78th St W ,Consultant,2025-04-08,6:00 AM TO 7:00 PM,13.0,21171,17834,-0.1576212743847716,23.895221650809503,6.627342069274686
8057550,CSAH 61 (Flying Cloud Dr) at Regional Center Rd,Consultant,2025-11-05,6:00 AM TO 7:00 PM,13.0,20971,17727,-0.1546898097372562,23.321237041860453,6.468147381667541
