ID,Intersection,Date,Time of Day,Pct_Diff,Abs_Pct_Diff
8008400,CSAH 1 (Old Shakopee Rd) at CSAH 17 (France Ave),2025-07-03 00:00:00,12:45:00,0.0578,0.0578
8018400,CSAH 1 (Old Shakopee Rd) at CSAH 34 (Normandale Blvd) ,2025-07-03 00:00:00,12:45:00,-0.1641,0.1641
8044600,CSAH 1 (Old Shakopee Rd) at Nesbitt Ave,2025-07-07 00:00:00,12:45:00,-0.0107,0.0107
8022400,CSAH 1 (Old Shakopee Rd) at Xerxes Ave S,2025-07-07 00:00:00,15:00:00,-0.2714,0.2714
8052100,CSAH 1 (Pioneer Trail) at Bennett Place,2025-07-01 00:00:00,15:00:00,-0.1247,0.1247
8037200,CSAH 1 (Pioneer Trail) at CSAH 4  (Eden Prairie Rd),2025-12-24 00:00:00,07:30:00,-0.1023,0.1023
8057300,CSAH 1 (Pioneer Trail) at CSAH 61 (Flying Cloud Dr),2025-12-24 00:00:00,08:00:00,0.304,0.304
8051400,CSAH 1 (Pioneer Trail) at Dell Rd,2025-12-29 00:00:00,08:15:00,0.0995,0.0995
8037400,CSAH 1 (Pioneer Trail) at Franlo Rd ,2025-06-06 00:00:00,07:45:00,-0.0042,0.0042
8037300,CSAH 1 (Pioneer Trail) at Homeward Hills Rd,2025-12-30 00:00:00,08:30:00,-0.0045,0.0045
8048500,CSAH 1 (Pioneer Trail) at Mitchell Rd,2025-12-30 00:00:00,15:15:00,-0.4615,0.4615
8052000,CSAH 1 (Pioneer Trail) at Staring Lake Parkway,2025-12-31 00:00:00,08:30:00,0.0923,0.0923
8015500,CSAH 10 (Bass Lake Rd) at Boone Ave,2024-01-04 00:00:00,off-peak,-0.02880970432145565,0.02880970432145565
8025600,CSAH 10 (Bass Lake Rd) at CSAH 152 (Brooklyn Blvd) - Master Controller,2026-01-13 00:00:00,08:30:00,-0.0131,0.0131
8043800,CSAH 10 (Bass Lake Rd) at International Pkwy / Gettysburg Ave,2024-01-23 00:00:00,AM,-0.04323458767013611,0.04323458767013611
8013100,CSAH 10 (Bass Lake Rd) at Jersey Ave,2024-03-06 00:00:00,AM,-0.15669099756690996,0.15669099756690996
8038800,CSAH 10 (Bass Lake Rd) at Nathan Ln,2025-07-07 00:00:00,07:45:00,-0.0926,0.0926
8021000,CSAH 10 (Bass Lake Rd) at Regent Ave,2026-01-12 00:00:00,15:00:00,-0.7354,0.7354
8029100,CSAH 10 (Bass Lake Rd) at Sherburne Ave,2026-01-12 00:00:00,15:30:00,-0.4701,0.4701
8013500,CSAH 10 (Bass Lake Rd) at Shingle Creek Pkwy,2024-01-29 00:00:00,off-peak,0.008834522595990485,0.008834522595990485
8031600,CSAH 10 (Bass Lake Rd) at Sycamore Ln / Prudential Bldg - Master Controller,2026-01-06 00:00:00,off-peak,0.0132,0.0132
8052700,CSAH 10 (Bass Lake Rd) at Vicksburg Ln,2026-01-14 00:00:00,11:45:00,-0.0592,0.0592
8005200,CSAH 10 (Bass Lake Rd) at Xerxes Ave N,2024-01-31 00:00:00,off-peak,-0.032454361054766734,0.032454361054766734
8024100,CSAH 10 (Bass Lake Rd) at Zachary Ln BACKHAUL,2026-01-08 00:00:00,AM,0.0577,0.0577
8056000,CSAH 10 (County Road 10) at CSAH 116 (Fletcher Ln),2026-01-09 00:00:00,AM,-0.0334,0.0334
8024500,CSAH 103 (West Broadway) at CSAH 130 / CSAH 152 (Brooklyn Blvd) - Master Controller,2024-01-30 00:00:00,AM,0.013531799729364006,0.013531799729364006
8016800,CSAH 14 (Zane Ave) at CSAH 109 (85th Ave N),2024-02-14 00:00:00,off-peak,-0.08901592486729278,0.08901592486729278
8042700,CSAH 152 (Brooklyn Blvd) at Kentucky Ave N BACKHAUL,2024-01-18 00:00:00,AM,-0.05445808862786973,0.05445808862786973
8026500,CSAH 152 (Brooklyn Blvd) at Welcome Ave N,2024-01-30 00:00:00,off-peak,-0.0695577501073422,0.0695577501073422
8023900,CSAH 3 (Excelsior Blvd) at 17th Ave S,2024-01-30 00:00:00,off-peak,-0.04307012700165654,0.04307012700165654
8002100,CSAH 3 (Excelsior Blvd) at Brookside Ave / Alabama Ave S BACKHAUL,03/17/202511:45 to 12,off-peak,-0.0436,0.0436
8015400,CSAH 30 (97th Ave) at CSAH 116 (Fletcher Ln) BACKHAUL,2024-01-31 00:00:00,AM,-0.06377551020408163,0.06377551020408163
8003000,CSAH 32 (Penn Ave) at CSAH 53 (66th St) - Master Controller Z12,2025-03-21 00:00:00,11:45:00,0.0086,0.0086
8017000,CSAH 34 (Normandale Blvd) at 102nd St W BACKHAUL,2024-01-31 00:00:00,off-peak,-0.09822534048699959,0.09822534048699959
8001200,CSAH 5 (Minnetonka Blvd) at Dakota Ave,2024-01-08 00:00:00,AM,0.01322556943423953,0.01322556943423953
8005400,CSAH 5 (Minnetonka Blvd) at Hampshire Ave S,2024-01-30 00:00:00,off-peak,-0.2725225225225225,0.2725225225225225
8001100,CSAH 5 (Minnetonka Blvd) at Louisiana Ave,2024-02-07 00:00:00,PM,-0.06817042606516291,0.06817042606516291
8001000,CSAH 5 (Minnetonka Blvd) at Texas Ave,2024-02-07 00:00:00,PM,-0.0423529411764706,0.0423529411764706
8002900,CSAH 53 (66th St) at Vincent Ave,03/19/2025off-peak,off-peak,-0.0322,0.0322
8015700,CSAH 57 (57th Ave N) at Logan Ave N,2024-01-31 00:00:00,off-peak,-0.1364190012180268,0.1364190012180268
8056150,CSAH 61 (Northwest Blvd) at 41st Pl N,2024-01-10 00:00:00,PM,-0.19175704989154013,0.19175704989154013
8024600,CSAH 61 (Shady Oak Rd) at Bren Rd - Master Controller,2024-01-04 00:00:00,AM,-0.057950530035335686,0.057950530035335686
