ID,Intersection,Date,Time of Day,Pct_Diff,Abs_Pct_Diff
8059100,CR 101 (Brockton Ln) at Dayton Parkway,2025-07-01,15:00:00,-0.0073,0.0073
8008400,CSAH 1 (Old Shakopee Rd) at CSAH 17 (France Ave),2023-07-11,AM,0.01560758082497213,0.01560758082497213
8018400,CSAH 1 (Old Shakopee Rd) at CSAH 34 (Normandale Blvd) ,2024-03-28,off-peak,-0.280433060470029,0.280433060470029
8044600,CSAH 1 (Old Shakopee Rd) at Nesbitt Ave,2023-07-07,AM,-0.4169184290030212,0.4169184290030212
8022400,CSAH 1 (Old Shakopee Rd) at Xerxes Ave S,2024-02-28,off-peak,-0.31742243436754175,0.31742243436754175
8052100,CSAH 1 (Pioneer Trail) at Bennett Place,2025-04-25,07:45:00,-0.0335,0.0335
8037200,CSAH 1 (Pioneer Trail) at CSAH 4  (Eden Prairie Rd),2024-04-09,off-peak,-0.019,0.019
8057300,CSAH 1 (Pioneer Trail) at CSAH 61 (Flying Cloud Dr),2023-07-12,AM,0.005319148936170213,0.005319148936170213
8051400,CSAH 1 (Pioneer Trail) at Dell Rd,2025-04-29,08:15:00,-0.0596,0.0596
8037400,CSAH 1 (Pioneer Trail) at Franlo Rd ,2025-04-30,07:45:00,-0.2278,0.2278
8037300,CSAH 1 (Pioneer Trail) at Homeward Hills Rd,2025-05-01,07:45:00,-0.0159,0.0159
8048500,CSAH 1 (Pioneer Trail) at Mitchell Rd,2025-06-04,15:15:00,-0.011,0.011
8052000,CSAH 1 (Pioneer Trail) at Staring Lake Parkway,2025-06-04,08:30:00,-0.0706,0.0706
8015500,CSAH 10 (Bass Lake Rd) at Boone Ave,2023-07-12,off-peak,-0.0448555499239736,0.0448555499239736
8025600,CSAH 10 (Bass Lake Rd) at CSAH 152 (Brooklyn Blvd) - Master Controller,2023-07-10,AM,-0.03669724770642202,0.03669724770642202
8043800,CSAH 10 (Bass Lake Rd) at International Pkwy / Gettysburg Ave,2023-06-21,AM,-0.3822805578342904,0.3822805578342904
8013100,CSAH 10 (Bass Lake Rd) at Jersey Ave,2023-06-21,AM,-0.17454688731284476,0.17454688731284476
8038800,CSAH 10 (Bass Lake Rd) at Nathan Ln,2023-07-03,PM,-0.20026702269692923,0.20026702269692923
8021000,CSAH 10 (Bass Lake Rd) at Regent Ave,2023-06-27,PM,-0.37333333333333335,0.37333333333333335
8029100,CSAH 10 (Bass Lake Rd) at Sherburne Ave,2023-07-18,PM,-0.03476669716376944,0.03476669716376944
8013500,CSAH 10 (Bass Lake Rd) at Shingle Creek Pkwy,2023-07-05,off-peak,0.2591721542803387,0.2591721542803387
8031600,CSAH 10 (Bass Lake Rd) at Sycamore Ln / Prudential Bldg - Master Controller,2024-02-26,off-peak,-0.13111726685133887,0.13111726685133887
8052700,CSAH 10 (Bass Lake Rd) at Vicksburg Ln,2024-03-04,off-peak,-0.0621453661172656,0.0621453661172656
8005200,CSAH 10 (Bass Lake Rd) at Xerxes Ave N,2023-06-21,off-peak,0.0144,0.0144
8024100,CSAH 10 (Bass Lake Rd) at Zachary Ln BACKHAUL,2023-07-03,AM,-0.3163538873994638,0.3163538873994638
8056000,CSAH 10 (County Road 10) at CSAH 116 (Fletcher Ln),2023-07-11,AM,-0.07773851590106007,0.07773851590106007
8040000,CSAH 101 (Central Ave) at 14th Ave N - Master Controller,2024-02-28,off-peak,-0.2476894639556377,0.2476894639556377
8035100,CSAH 101 (Central Ave) at Wayzata Blvd - Master Controller,2025-06-05,15:00:00,0.0222,0.0222
8049100,CSAH 101 (County Rd 101) at Hutchins Dr,2025-06-09,12:30:00,-0.0885,0.0885
8049200,CSAH 101 (County Rd 101) at Seven Hi Drive (Cub Foods),2024-02-01,off-peak,-0.09124034397318175,0.09124034397318175
8054500,CSAH 101 (County Road 101) at Medina Rd BACKHAUL,2024-01-04,PM,0.04772234273318872,0.04772234273318872
8056300,CSAH 101 (County Road 101) at Ridgewood Rd,2024-03-06,off-peak,-0.40416047548291234,0.40416047548291234
8046600,CSAH 101 at Lake Street Extension,2023-07-06,AM,-0.28824833702882485,0.28824833702882485
8008600,CSAH 102 (Douglas Dr) at 36th Ave N,2023-06-23,AM,-0.1797,0.1797
8017900,CSAH 102 (Douglas Dr) at 47th Ave N,2023-06-26,AM,-0.28793774319066145,0.28793774319066145
8010300,CSAH 103 (West Broadway) at Candlewood Dr,2024-03-27,off-peak,-0.4520848573518654,0.4520848573518654
8024500,CSAH 103 (West Broadway) at CSAH 130 / CSAH 152 (Brooklyn Blvd) - Master Controller,2023-06-29,AM,0.016973532796317605,0.016973532796317605
8037100,CSAH 103 (West Broadway) at Dragon Star Supermarket/Rainbow Foods Driveway,2025-06-09,16:00:00,-0.1156,0.1156
9010810,CSAH 103 (West Broadway) at Oak Grove Pkwy,2025-06-10,15:00:00,0.0615,0.0615
8057750,CSAH 103 (Winnetka Ave N) at 109th Ave N,2023-07-11,AM,-0.07960199004975124,0.07960199004975124
8051900,CSAH 109 (85th Ave N) at Edinbrook Pkwy N,2025-06-10,07:45:00,0.4583,0.4583
8048700,CSAH 109 (85th Ave N) at Logan Ave N/ Edinbugh Center Dr,2025-04-22,08:15:00,-0.2394,0.2394
8040200,CSAH 109 (85th Ave N) at NHCC Entrance - Master Controller,2023-07-05,AM,-0.23696682464454977,0.23696682464454977
8042200,CSAH 109 (85th Ave N) at Regent Ave N,2023-07-11,AM,-0.21258134490238612,0.21258134490238612
8042300,CSAH 109 (85th Ave N) at Xerxes Ave N,2024-04-10,off-peak,-0.039660056657223795,0.039660056657223795
8030200,CSAH 109 (Weaver Lake Rd) at 83rd Way N,2024-04-02,off-peak,-0.08635703918722787,0.08635703918722787
8032400,CSAH 109 (Weaver Lake Rd) at CSAH 130 (Elm Creek) - Master Controller,2024-04-03,off-peak,-0.0934386808656819,0.0934386808656819
8052300,CSAH 110 (Commerce Blvd) at Sunnyfield Rd E,2025-06-11,12:15:00,-0.0118,0.0118
8047000,CSAH 110 (Commerce Blvd) at Three Points Blvd,2025-06-11,08:15:00,-0.0278,0.0278
8012600,CSAH 12 (Noble Pkwy) at 93rd Ave,2024-04-09,off-peak,-0.02273957769355712,0.02273957769355712
8057925,CSAH 12 (Noble Pkwy) at Edinbrook Parkway,2023-07-14,AM,-0.1259,0.1259
9010710,CSAH 121 (Fernbrook Ln) at Cartway Rd,2023-07-11,AM,-0.16666666666666666,0.16666666666666666
9010695,CSAH 121 (Maple Grove Pkwy) at 99th Ave / Grove Cir,2025-06-11,15:15:00,-0.1952,0.1952
9010690,CSAH 121 (Maple Grove Pkwy) at Hospital Dr,2025-06-12,08:30:00,0.2507,0.2507
8035000,CSAH 13 (Brockton Lane) at CSAH 81 (Industrial Blvd) / CSAH 101 (County Road 101),2023-07-12,AM,0.06829268292682927,0.06829268292682927
8026400,CSAH 130 (69th Ave N) at CSAH 152 (Brooklyn Blvd),2023-07-10,AM,-0.09375,0.09375
8045500,CSAH 130 (69th Ave N) at Zane Ave N,2023-07-17,PM,-0.06025824964131994,0.06025824964131994
8052900,CSAH 130 (77th Ave N) at Boone Ave N,2023-06-12,12:45:00,0.0238,0.0238
8054000,CSAH 130 (77th Ave N) at Revere Ln,2023-07-06,AM,0.05818181818181818,0.05818181818181818
8053900,CSAH 130 (77th Ave N) at Zachary Ln,2024-03-05,off-peak,-0.1102915349490692,0.1102915349490692
8055850,CSAH 130 (Elm Creek Blvd) at Arbor Lakes Access,2025-06-12,15:00:00,-0.0344,0.0344
8056450,CSAH 130 (Elm Creek Blvd) at Fountains Dr-BACKHAUL,2025-06-13,07:45:00,-0.1032,0.1032
8025300,CSAH 130 (West Broadway) at 73rd Ave N,2025-04-02,07:45:00,0.0613,0.0613
8045400,CSAH 130 (West Broadway) at 76th Ave N,2025-06-13,15:00:00,0.139,0.139
8014800,CSAH 136 (Silver Lake Rd) at 33rd Ave NE,2025-03-31,AM,0.4893,0.4893
8033500,CSAH 136 (Silver Lake Rd) at St Anthony Blvd,2025-04-17,08:15:00,-0.0443,0.0443
8039800,CSAH 14 (Douglas Dr) at 109th Ave N - Master Controller,2023-07-12,AM,-0.024213075060532687,0.024213075060532687
8016800,CSAH 14 (Zane Ave) at CSAH 109 (85th Ave N),2023-07-12,off-peak,-0.1179,0.1179
8025700,CSAH 14 (Zane Ave) at CSAH 152 (Brooklyn Blvd) - Master Controller,2024-04-02,AM,-0.38294314381270905,0.38294314381270905
8032000,CSAH 14 (Zane Ave) at CSAH 30 (93rd Ave N),2024-04-02,off-peak,-0.1688788477831121,0.1688788477831121
8055100,CSAH 14 (Zane Ave) at Oak Grove Pkwy (97th Ave),2023-07-14,AM,-0.048458149779735685,0.048458149779735685
8057970,CSAH 144 (141st Ave N) at James Rd/Rogers Dr,2025-06-16,12:45:00,-0.0152,0.0152
8057965,CSAH 144 (141st Ave N) at Northdale Blvd,2025-06-18,15:45:00,-0.0287,0.0287
8055800,CSAH 144 (141st Ave N) at Rogers High School W Entr,2025-06-19,07:45:00,0.0127,0.0127
8036600,CSAH 15 (Lynwood Blvd) at CSAH 110 (Commerce Blvd),2025-04-18,07:45:00,-0.0893,0.0893
8013200,CSAH 15 (Shoreline Dr) at CSAH 19 (Shadywood Rd),2023-07-10,off-peak,-0.12133891213389121,0.12133891213389121
8031700,CSAH 15 (Shoreline Dr) at CSAH 51 (Sunset Dr),2025-06-19,12:45:00,-0.0247,0.0247
8026800,CSAH 152 (Brooklyn Blvd / Osseo Rd) at 49th Ave N BACKHAUL,2024-02-22,off-peak,-0.023926812104152005,0.023926812104152005
8025900,CSAH 152 (Brooklyn Blvd) at 55th Ave N,2024-02-21,PM,-0.05527233700026831,0.05527233700026831
8026000,CSAH 152 (Brooklyn Blvd) at 63rd Ave N,2024-04-02,off-peak,-0.02190395956192081,0.02190395956192081
8026100,CSAH 152 (Brooklyn Blvd) at 65th Ave N,2023-07-18,PM,-0.010672358591248666,0.010672358591248666
8053600,CSAH 152 (Brooklyn Blvd) at 68th Ave N,2024-03-06,off-peak,-0.13154500902759866,0.13154500902759866
8026700,CSAH 152 (Brooklyn Blvd) at 73rd Ave N / Regent Ave,2023-07-18,PM,-0.24355555555555555,0.24355555555555555
8037000,CSAH 152 (Brooklyn Blvd) at Cub Foods Driveway,2023-07-15,off-peak,-0.10224948875255624,0.10224948875255624
8042600,CSAH 152 (Brooklyn Blvd) at Jolly Lane,2024-04-10,off-peak,-0.07969432314410481,0.07969432314410481
8042700,CSAH 152 (Brooklyn Blvd) at Kentucky Ave N BACKHAUL,2023-06-26,AM,0.2218413320274241,0.2218413320274241
8026600,CSAH 152 (Brooklyn Blvd) at Noble Ave / 71st Ave,2023-07-18,PM,-0.4970828471411902,0.4970828471411902
8038300,CSAH 152 (Brooklyn Blvd) at Unity Ave N,2023-07-19,AM,-0.22857142857142856,0.22857142857142856
8026500,CSAH 152 (Brooklyn Blvd) at Welcome Ave N,2023-06-28,off-peak,-0.2647574517825833,0.2647574517825833
8032700,CSAH 153 (Kenzie Ter) at Kenzington Apts,2025-04-07,12:45:00,-0.0903,0.0903
8006100,CSAH 156 (Winnetka Ave N) at Golden Valley Rd,2023-07-10,AM,-0.032362459546925564,0.032362459546925564
8025400,CSAH 156 (Winnetka Ave) at 10th Ave N - Master Controller,2023-07-10,AM,0.3690205011389522,0.3690205011389522
8022000,CSAH 156 (Winnetka Ave) at 32nd Ave N,2023-07-10,AM,-0.08524590163934426,0.08524590163934426
8010200,CSAH 156 (Winnetka Ave) at 36th Ave N,2023-06-23,AM,-0.142433234421365,0.142433234421365
8054700,CSAH 158 (Gleason Rd) at Vernon Ave S,2023-07-17,PM,0.004640371229698376,0.004640371229698376
8008800,CSAH 158 (Vernon Ave) at Interlachen Blvd,2024-03-27,off-peak,-0.09935532802427001,0.09935532802427001
8009500,CSAH 17 (France Ave) at 58th St S,2024-04-09,off-peak,-0.14846335697399526,0.14846335697399526
8005700,CSAH 17 (France Ave) at 65th St W,2024-02-08,off-peak,-0.4175599795814191,0.4175599795814191
8007100,CSAH 17 (France Ave) at 84th St W BACKHAUL,2024-03-27,off-peak,-0.08583690987124463,0.08583690987124463
8027600,CSAH 17 (France Ave) at I-494 N Ramp / 78th St,2023-07-12,AM,-0.16625916870415647,0.16625916870415647
8054100,CSAH 19 (Manitou Rd) at Smithtown Rd,2025-06-19,15:45:00,-0.1426,0.1426
8051500,CSAH 24 (County Rd 24) at Medina Rd,2025-06-20,15:00:00,-0.0198,0.0198
8049800,CSAH 24 (County Rd 24) at Shopping Center Ent,2023-07-05,AM,-0.20253164556962025,0.20253164556962025
8054400,CSAH 24 (County Road 24) at CSAH 101 (County Road 101) - Master Controller,2023-07-06,AM,-0.15859030837004406,0.15859030837004406
8033150,CSAH 25 (Hwy 7) at Lynn Ave,2025-06-23,07:45:00,-0.0212,0.0212
8039900,CSAH 27 (Stinson Blvd NE) at 37th Ave NE,2025-06-23,15:45:00,-0.0397,0.0397
8030800,CSAH 28 (E Bush Lake Rd) at 78th St W ,2025-04-04,AM,0.113,0.113
8028100,CSAH 28 (E Bush Lake Rd) at 84th St W / Chalet Rd,2024-02-22,off-peak,-0.09281627463445645,0.09281627463445645
8054900,CSAH 28 (E Bush Lake Rd) at American Blvd / Green Valley Dr,2025-06-24,08:00:00,-0.1317,0.1317
8023900,CSAH 3 (Excelsior Blvd) at 17th Ave S,2023-06-23,off-peak,0.8845004978426817,0.8845004978426817
8023100,CSAH 3 (Excelsior Blvd) at 8th Ave S,2024-02-21,off-peak,-0.018752547900529964,0.018752547900529964
8002100,CSAH 3 (Excelsior Blvd) at Brookside Ave / Alabama Ave S BACKHAUL,2025-03-11,4:15 to 4:30,-0.3047,0.3047
8002000,CSAH 3 (Excelsior Blvd) at CSAH 20 (Blake Rd),2024-03-27,off-peak,-0.08306709265175719,0.08306709265175719
8018200,CSAH 3 (Excelsior Blvd) at CSAH 60 (Baker Rd),2023-07-26,off-peak,-0.012422360248447204,0.012422360248447204
8056200,CSAH 3 (Excelsior Blvd) at Jackson Ave N / Milwaukee St,2025-06-24,12:45:00,-0.1313,0.1313
8050600,CSAH 30 (93rd Ave) at CSAH 103 (West Broadway),2025-06-24,15:00:00,-0.356,0.356
9010720,CSAH 30 (93rd Ave) at CSAH 121 (Maple Grove Pkwy),2025-06-25,12:15:00,-0.243,0.243
8057150,CSAH 30 (93rd Ave) at Lawndale Ln N,2023-07-13,PM,-0.08264462809917356,0.08264462809917356
8057100,CSAH 30 (93rd Ave) at Troy Ln N,2023-07-13,off-peak,-0.41140529531568226,0.41140529531568226
8054800,CSAH 30 (93rd Ave) at Upland Ln N,2023-07-12,PM,-0.10583446404341927,0.10583446404341927
8055900,CSAH 30 (97th Ave) at CSAH 101 (Brockton Ln N),2023-07-13,off-peak,-0.29652996845425866,0.29652996845425866
8015400,CSAH 30 (97th Ave) at CSAH 116 (Fletcher Ln) BACKHAUL,2023-06-23,AM,-0.0333,0.0333
8047700,CSAH 31 (York Ave) at Southdale Exit,2024-03-04,AM,-0.059190031152647975,0.059190031152647975
8009700,CSAH 32 (Penn Ave) at 64th St W / Fire Station,2024-02-13,off-peak,-0.672514619883041,0.672514619883041
8004400,CSAH 32 (Penn Ave) at 76th St W,2024-02-08,off-peak,-0.09052224371373307,0.09052224371373307
8055000,CSAH 32 (Penn Ave) at 78th / Best Buy Entr,2025-06-25,15:00:00,-0.0362,0.0362
8043600,CSAH 32 (Penn Ave) at 7900 Driveway,2024-02-29,off-peak,-0.17825020441537204,0.17825020441537204
8003000,CSAH 32 (Penn Ave) at CSAH 53 (66th St) - Master Controller Z12,2025-03-14,12:15 to 12:30 PM,-0.108,0.108
8017000,CSAH 34 (Normandale Blvd) at 102nd St W BACKHAUL,2023-06-26,off-peak,-0.0028,0.0028
8019100,CSAH 34 (Normandale Blvd) at 98th St W,2023-06-27,AM,-0.024526198439241916,0.024526198439241916
