ID,Intersection,Date_Baseline,Time of Day_Baseline,Pct_Diff_Baseline,Abs_Pct_Diff_Baseline,Date_1st_Calibration,Time of Day_1st_Calibration,Pct_Diff_1st_Calibration,Abs_Pct_Diff_1st_Calibration,Improved,Change_In_Abs_Pct_Diff
8023900,CSAH 3 (Excelsior Blvd) at 17th Ave S,2023-06-23,off-peak,0.8845004978426817,0.8845004978426817,2024-01-30 00:00:00,off-peak,-0.04307012700165654,0.04307012700165654,True,-0.8414303708410251
8044600,CSAH 1 (Old Shakopee Rd) at Nesbitt Ave,2023-07-07,AM,-0.4169184290030212,0.4169184290030212,2025-07-07 00:00:00,12:45:00,-0.0107,0.0107,True,-0.4062184290030212
8027900,CSAH 61 (Shady Oak Rd) at Dominic Dr / Smetana Rd,2023-06-26,PM,-0.40005316321105794,0.40005316321105794,2024-01-03 00:00:00,PM,0.009512485136741973,0.009512485136741973,True,-0.390540678074316
8043800,CSAH 10 (Bass Lake Rd) at International Pkwy / Gettysburg Ave,2023-06-21,AM,-0.3822805578342904,0.3822805578342904,2024-01-23 00:00:00,AM,-0.04323458767013611,0.04323458767013611,True,-0.3390459701641543
8002100,CSAH 3 (Excelsior Blvd) at Brookside Ave / Alabama Ave S BACKHAUL,2025-03-11,4:15 to 4:30,-0.3047,0.3047,03/17/202511:45 to 12,off-peak,-0.0436,0.0436,True,-0.2611
8024100,CSAH 10 (Bass Lake Rd) at Zachary Ln BACKHAUL,2023-07-03,AM,-0.3163538873994638,0.3163538873994638,2026-01-08 00:00:00,AM,0.0577,0.0577,True,-0.2586538873994638
8013500,CSAH 10 (Bass Lake Rd) at Shingle Creek Pkwy,2023-07-05,off-peak,0.2591721542803387,0.2591721542803387,2024-01-29 00:00:00,off-peak,0.008834522595990485,0.008834522595990485,True,-0.2503376316843482
8034400,CSAH 81 (Bottineau Blvd) at 73rd Ave N BACKHAUL,2023-06-27,PM,-0.2603719599427754,0.2603719599427754,2024-01-10 00:00:00,PM,-0.03271375464684015,0.03271375464684015,True,-0.22765820529593525
8037400,CSAH 1 (Pioneer Trail) at Franlo Rd ,2025-04-30,07:45:00,-0.2278,0.2278,2025-06-06 00:00:00,07:45:00,-0.0042,0.0042,True,-0.2236
8026500,CSAH 152 (Brooklyn Blvd) at Welcome Ave N,2023-06-28,off-peak,-0.2647574517825833,0.2647574517825833,2024-01-30 00:00:00,off-peak,-0.0695577501073422,0.0695577501073422,True,-0.1951997016752411
8056150,CSAH 61 (Northwest Blvd) at 41st Pl N,2023-06-21,PM,-0.38102893890675243,0.38102893890675243,2024-01-10 00:00:00,PM,-0.19175704989154013,0.19175704989154013,True,-0.1892718890152123
8024600,CSAH 61 (Shady Oak Rd) at Bren Rd - Master Controller,2023-06-26,AM,-0.2280752532561505,0.2280752532561505,2024-01-04 00:00:00,AM,-0.057950530035335686,0.057950530035335686,True,-0.17012472322081482
8042700,CSAH 152 (Brooklyn Blvd) at Kentucky Ave N BACKHAUL,2023-06-26,AM,0.2218413320274241,0.2218413320274241,2024-01-18 00:00:00,AM,-0.05445808862786973,0.05445808862786973,True,-0.16738324339955435
8031600,CSAH 10 (Bass Lake Rd) at Sycamore Ln / Prudential Bldg - Master Controller,2024-02-26,off-peak,-0.13111726685133887,0.13111726685133887,2026-01-06 00:00:00,off-peak,0.0132,0.0132,True,-0.11791726685133887
