ID,Intersection,Date,Time of Day,Manual_Total,Vision_Total,Pct_Diff,GEH_15min,GEH_Hourly_Equiv
8029100,CSAH 10 (Bass Lake Rd) at Sherburne Ave,2026-01-12,15:30:00,691,428,-0.38060781476121563,11.118743282828994,22.23748656565799
8021000,CSAH 10 (Bass Lake Rd) at Regent Ave,2026-01-12,15:00:00,305,141,-0.5377049180327869,10.98225229499177,21.96450458998354
8048500,CSAH 1 (Pioneer Trail) at Mitchell Rd,2025-12-30,15:15:00,200,125,-0.375,5.883484054145521,11.766968108291042
8022400,CSAH 1 (Old Shakopee Rd) at Xerxes Ave S,2025-07-07,15:00:00,477,363,-0.2389937106918239,5.562630415806639,11.125260831613279
8057300,CSAH 1 (Pioneer Trail) at CSAH 61 (Flying Cloud Dr),2025-12-26,08:00:00,187,262,0.40106951871657753,5.005564831994999,10.011129663989998
8018400,CSAH 1 (Old Shakopee Rd) at CSAH 34 (Normandale Blvd),2025-07-03,12:45:00,699,593,-0.15164520743919885,4.170514219432559,8.341028438865118
8026700,CSAH 152 (Brooklyn Blvd) at 73rd Ave N / Regent Ave,2026-06-16,15:00:00,542,474,-0.12546125461254612,3.017012132014787,6.034024264029574
8014800,CSAH 136 (Silver Lake Rd) at 33rd Ave NE,2026-02-20,8:00AM,222,180,-0.1891891891891892,2.9624515866061127,5.9249031732122255
8038800,CSAH 10 (Bass Lake Rd) at Nathan Ln,2025-07-07,07:45:00,576,525,-0.08854166666666667,2.17365950422944,4.34731900845888
8020600,CSAH 5 (Minnetonka Blvd) at CSAH 16 (McGinty Rd W),2026-04-28,08:00:00,515,472,-0.08349514563106795,1.935641287407278,3.871282574814556
8054100,CSAH 19 (Manitou Rd) at Smithtown Rd,2026-03-30,15:00:00,242,216,-0.10743801652892562,1.7181283611832334,3.436256722366467
8005700,CSAH 17 (France Ave) at 65th St W,2026-03-30,07:45:00,472,440,-0.06779661016949153,1.4985372985307104,2.9970745970614208
8045400,CSAH 130 (West Broadway) at 76th Ave N,2026-02-23,15:00:00,295,270,-0.0847457627118644,1.487410293271824,2.974820586543648
8057890,CSAH 81 (Main St) at John Milless Dr / Industrial Blvd,2026-03-13,08:00:00,405,433,0.0691358024691358,1.3678895124888881,2.7357790249777763
8008400,CSAH 1 (Old Shakopee Rd) at CSAH 17 (France Ave),2025-07-08,12:45:00,521,552,0.05950095969289827,1.3383719645066712,2.6767439290133423
8024100,CSAH 10 (Bass Lake Rd) at Zachary Ln BACKHAUL,2026-01-08,07:45:00,505,535,0.0594059405940594,1.3155870289605438,2.6311740579210876
8023800,CSAH 5 (Minnetonka Blvd) at CSAH 61 W Jct (Plymouth Rd),2026-04-27,15:15:00,396,375,-0.05303030303030303,1.0695648047665605,2.139129609533121
8037200,CSAH 1 (Pioneer Trail) at CSAH 4  (Eden Prairie Rd),2025-12-24,07:30:00,113,102,-0.09734513274336283,1.0609342087749067,2.1218684175498135
8051400,CSAH 1 (Pioneer Trail) at Dell Rd,2025-12-29,08:15:00,105,116,0.10476190476190476,1.046433287139887,2.092866574279774
8052700,CSAH 10 (Bass Lake Rd) at Vicksburg Ln,2026-01-14,11:45:00,313,295,-0.05750798722044728,1.032370802417528,2.064741604835056
8052000,CSAH 1 (Pioneer Trail) at Staring Lake Parkway,2025-12-31,08:30:00,93,102,0.0967741935483871,0.9114654303753,1.8229308607506
8033400,CSAH 88 (New Brighton Blvd) at CSAH 94 (29th Ave NE),2026-04-20,08:00:00,292,279,-0.04452054794520548,0.7693789430238368,1.5387578860476736
8024800,CSAH 9 (Rockford Rd) at Larch Ln BACKHAUL,2026-04-17,15:00:00,477,461,-0.033542976939203356,0.7388113544633762,1.4776227089267524
9010690,CSAH 121 (Maple Grove Pkwy) at Hospital Dr,2026-02-19,08:30:00,339,327,-0.035398230088495575,0.6575959492214292,1.3151918984428583
8025900,CSAH 152 (Brooklyn Blvd) at 55th Ave N,2026-05-21,15:15:00,520,506,-0.026923076923076925,0.6181150999636871,1.2362301999273742
