ID,Intersection,Date,Time of Day,Manual_Total,Vision_Total,Pct_Diff,GEH_15min,GEH_Hourly_Equiv
8051900,CSAH 109 (85th Ave N) at Edinbrook Pkwy N,2025-06-10,07:45:00,254,405,0.594488188976378,8.318580770747719,16.637161541495438
8014800,CSAH 136 (Silver Lake Rd) at 33rd Ave NE,2025-03-31,07:45:00,176,290,0.6477272727272727,7.468388315716769,14.936776631433538
8002100,CSAH 3 (Excelsior Blvd) at Brookside Ave / Alabama Ave S BACKHAUL,2025-03-11,16:15:00,469,345,-0.26439232409381663,6.14645180399796,12.29290360799592
9010690,CSAH 121 (Maple Grove Pkwy) at Hospital Dr,2025-06-12,08:30:00,390,505,0.2948717948717949,5.436273781341253,10.872547562682506
9010695,CSAH 121 (Maple Grove Pkwy) at 99th Ave / Grove Cir,2025-06-12,15:15:00,658,541,-0.1778115501519757,4.778496453589155,9.55699290717831
8061200,CSAH 61 (Flying Cloud Dr) at Viking Drive,2026-02-24,15:30:00,322,250,-0.2236024844720497,4.257449251121395,8.51489850224279
8037400,CSAH 1 (Pioneer Trail) at Franlo Rd ,2025-04-30,07:45:00,308,245,-0.20454545454545456,3.7887241097428612,7.5774482194857224
8026100,CSAH 152 (Brooklyn Blvd) at 65th Ave N,3035-03-03,09:15:00,476,408,-0.14285714285714285,3.2344301602505596,6.468860320501119
8054100,CSAH 19 (Manitou Rd) at Smithtown Rd,2025-06-19,15:45:00,368,319,-0.1331521739130435,2.6438250266366268,5.2876500532732535
8057895,CSAH 81 (Industrial Blvd) at John Deere Ln,2026-02-17,16:00:00,310,266,-0.14193548387096774,2.592724864350674,5.185449728701348
8045400,CSAH 130 (West Broadway) at 76th Ave N,2025-06-13,15:00:00,308,354,0.14935064935064934,2.5283886656748384,5.056777331349677
8054900,CSAH 28 (E Bush Lake Rd) at American Blvd / Green Valley Dr,2025-06-24,08:00:00,356,312,-0.12359550561797752,2.4075728827241645,4.815145765448329
8058010,CSAH 73 (Hopkins Crossroad) at Wayzata Blvd / North Frontage Road,2026-03-09,16:00:00,391,346,-0.11508951406649616,2.3441951748178047,4.688390349635609
8037100,CSAH 103 (West Broadway) at Dragon Star Supermarket/Rainbow Foods Driveway,2025-06-09,16:00:00,421,375,-0.10926365795724466,2.3057716527385934,4.611543305477187
9010660,CSAH 61 (Zachary Ln N) at 89th Ave N,2026-02-26,15:00:00,342,302,-0.11695906432748537,2.2291128503014113,4.4582257006028225
8027600,CSAH 17 (France Ave) at I-494 N Ramp / 78th St,2026-04-03,07:45:00,647,594,-0.08191653786707882,2.1276734616448056,4.255346923289611
8057890,CSAH 81 (Main St) at John Milless Dr / Industrial Blvd,2026-03-06,08:00:00,454,411,-0.0947136563876652,2.0676422583876835,4.135284516775367
8057800,CSAH 61 (Flying Cloud Dr) at Charlson Rd,2026-02-24,15:00:00,136,114,-0.16176470588235295,1.9677398201998149,3.9354796403996297
8030800,CSAH 28 (E Bush Lake Rd) at 78th St W ,2025-04-04,19:45:00,284,318,0.11971830985915492,1.9597274201943988,3.9194548403887977
8036600,CSAH 15 (Lynwood Blvd) at CSAH 110 (Commerce Blvd),2025-04-18,07:45:00,433,396,-0.08545034642032333,1.8173536879266257,3.6347073758532513
